_id,apellido,frec_pri,frec_seg
1,HERNANDEZ,44095,44333
2,GARCIA,33010,33351
3,MARTINEZ,31080,31087
4,LOPEZ,30288,30188
5,GONZALEZ,25356,25362
6,RODRIGUEZ,22642,22490
7,PEREZ,22470,22353
8,SANCHEZ,21801,21782
9,RAMIREZ,18806,18632
10,FLORES,14160,13907
11,CRUZ,14010,14688
12,GOMEZ,12937,12648
13,MORALES,10475,10283
14,VAZQUEZ,10358,10562
15,JIMENEZ,10054,10072
16,REYES,10036,9888
17,DIAZ,9373,9306
18,TORRES,9154,9175
19,GUTIERREZ,8307,8195
20,RUIZ,8176,8207
21,AGUILAR,7757,7645
22,MENDOZA,7369,7523
23,CASTILLO,7117,6956
24,ORTIZ,6337,6208
25,MORENO,5910,6169
26,RIVERA,5873,5819
27,RAMOS,5836,5705
28,ROMERO,5661,5732
29,JUAREZ,5637,5507
30,ALVAREZ,5523,5627
31,MENDEZ,5494,5404
32,CHAVEZ,5437,5598
33,HERRERA,5255,5120
34,MEDINA,5047,4982
35,DOMINGUEZ,4978,5151
36,CASTRO,4918,5076
37,GUZMAN,4768,4801
38,VARGAS,4678,4630
39,VELAZQUEZ,4458,4438
40,SALAZAR,4405,4466
41,ROJAS,4092,3916
42,ORTEGA,4079,3998
43,CORTES,4019,3889
44,SANTIAGO,3951,3897
45,GUERRERO,3881,3970
46,CONTRERAS,3869,3807
47,BAUTISTA,3865,3709
48,ESTRADA,3690,3756
49,LUNA,3668,3520
50,LARA,3604,3525
51,RIOS,3396,3367
52,AVILA,3223,3242
53,ALVARADO,3175,3169
54,DE LA CRUZ,3108,2896
55,SILVA,3028,3005
56,DELGADO,3022,3071
57,CARRILLO,2960,2812
58,SOLIS,2954,2890
59,SOTO,2954,3149
60,LEON,2873,2791
61,FERNANDEZ,2850,2780
62,CERVANTES,2835,2872
63,MARQUEZ,2835,2796
64,ESPINOSA,2771,2728
65,MEJIA,2762,2693
66,VEGA,2759,2752
67,SANDOVAL,2700,2880
68,CAMPOS,2637,2725
69,NAVA,2628,2633
70,CABRERA,2582,2530
71,IBARRA,2550,2525
72,ESPINOZA,2523,2432
73,SANTOS,2500,2565
74,ACOSTA,2440,2491
75,CAMACHO,2413,2354
76,VALDEZ,2382,2454
77,FUENTES,2367,2319
78,MUÑOZ,2351,2277
79,MIRANDA,2350,2272
80,MALDONADO,2342,2461
81,ROBLES,2336,2217
82,ROSAS,2318,2492
83,MEZA,2287,2234
84,MOLINA,2254,2327
85,TREJO,2212,2245
86,ROSALES,2144,2213
87,PACHECO,2143,2195
88,NAVARRO,2128,2152
89,SALGADO,2125,2004
90,AGUIRRE,2100,1980
91,SALAS,2002,2026
92,VELASCO,1973,1789
93,CARDENAS,1969,2034
94,PINEDA,1966,1795
95,OROZCO,1948,1927
96,SERRANO,1929,1891
97,RANGEL,1894,1850
98,VALENCIA,1883,1840
99,SOSA,1879,2008
100,VASQUEZ,1877,1962
101,VALENZUELA,1857,1958
102,TAPIA,1838,1866
103,BARRERA,1805,1829
104,ARELLANO,1804,1686
105,FIGUEROA,1802,1829
106,PADILLA,1774,1835
107,AYALA,1769,1855
108,HUERTA,1760,1766
109,DURAN,1747,1698
110,SALINAS,1739,1714
111,MONTES,1735,1787
112,MORA,1734,1618
113,CALDERON,1732,1617
114,MARIN,1708,1646
115,CUEVAS,1702,1644
116,VILLANUEVA,1694,1641
117,PALACIOS,1690,1711
118,OLVERA,1671,1723
119,ESCOBAR,1666,1572
120,SUAREZ,1646,1608
121,BENITEZ,1645,1616
122,GALLEGOS,1645,1608
123,FRANCO,1636,1591
124,OCHOA,1632,1738
125,CANO,1618,1550
126,ZAMORA,1614,1573
127,BELTRAN,1610,1634
128,VILLEGAS,1607,1728
129,MACIAS,1592,1585
130,ZAVALA,1566,1474
131,LOZANO,1555,1533
132,ALONSO,1513,1363
133,GALVAN,1500,1493
134,OSORIO,1496,1530
135,PEÑA,1486,1433
136,ROMAN,1463,1630
137,TRUJILLO,1463,1493
138,GARZA,1461,1490
139,PONCE,1440,1341
140,PERALTA,1435,1450
141,GALINDO,1411,1390
142,LEYVA,1399,1488
143,NUÑEZ,1393,1511
144,CORONA,1386,1379
145,ZARATE,1376,1495
146,ANDRADE,1374,1256
147,BERNAL,1374,1423
148,TOLEDO,1369,1310
149,RUBIO,1333,1377
150,ARIAS,1321,1308
151,BRAVO,1305,1234
152,MATA,1291,1235
153,PARRA,1289,1342
154,CASTAÑEDA,1288,1240
155,ANTONIO,1279,1149
156,ENRIQUEZ,1279,1333
157,VERA,1252,1214
158,CISNEROS,1251,1113
159,RIVAS,1237,1161
160,MONTOYA,1234,1319
161,OLIVARES,1234,1144
162,ROCHA,1232,1262
163,CASTELLANOS,1222,1164
164,ZUÑIGA,1216,1176
165,ARROYO,1213,1209
166,ESQUIVEL,1203,1209
167,QUIROZ,1182,1130
168,NAVARRETE,1180,1184
169,VILLALOBOS,1168,1119
170,VILLA,1161,1282
171,GUEVARA,1155,1085
172,ANGELES,1153,1144
173,TOVAR,1145,1131
174,CORDOVA,1130,1091
175,VILLARREAL,1127,977
176,CARMONA,1124,1136
177,QUINTERO,1123,1106
178,GALLARDO,1107,1081
179,DE LA ROSA,1094,1028
180,OCAMPO,1066,1089
181,TELLEZ,1061,1079
182,ZAPATA,1054,967
183,CABALLERO,1053,1022
184,ESPARZA,1046,1090
185,MONTIEL,1046,1054
186,BECERRA,1037,954
187,LUGO,1024,991
188,DAVILA,1015,982
189,SANTANA,1014,945
190,DE LEON,1012,1122
191,REYNA,1009,948
192,GALICIA,1005,1115
193,PAREDES,999,913
194,MUNOZ,990,986
195,ALARCON,984,996
196,NAJERA,980,1012
197,ACEVEDO,975,987
198,OJEDA,969,963
199,MERCADO,966,943
200,GUERRA,961,892
201,GUILLEN,949,925
202,MURILLO,944,959
203,AVALOS,936,976
204,BARRIOS,935,978
205,FELIX,926,1020
206,BELLO,924,957
207,SOLANO,908,939
208,CHAN,907,893
209,RENDON,907,827
210,ESCAMILLA,900,930
211,ESCOBEDO,894,789
212,SAUCEDO,890,896
213,AMADOR,886,878
214,LEAL,885,919
215,CORTEZ,868,938
216,SEGURA,863,827
217,PALMA,853,889
218,URIBE,851,903
219,BLANCO,849,888
220,ALTAMIRANO,847,841
221,NIETO,847,870
222,RESENDIZ,840,890
223,SIERRA,828,782
224,ISLAS,822,806
225,MONROY,822,859
226,BONILLA,819,763
227,ALFARO,814,735
228,VALLE,811,806
229,GRANADOS,802,847
230,AVILES,795,764
231,BARRON,791,780
232,BARAJAS,788,760
233,ESCALANTE,787,841
234,CARRASCO,784,782
235,ARTEAGA,780,722
236,GIL,778,753
237,DUARTE,769,738
238,MELENDEZ,767,790
239,VALDES,766,784
240,VENTURA,758,745
241,AQUINO,747,754
242,BARRAGAN,743,686
243,ARRIAGA,741,782
244,ARENAS,735,673
245,BAEZ,735,676
246,MONTERO,732,612
247,PECH,731,732
248,MENESES,730,611
249,DEL ANGEL,729,695
250,ARMENTA,728,734
251,GODINEZ,721,693
252,BALDERAS,715,707
253,VIDAL,712,616
254,CARBAJAL,706,784
255,JAIMES,701,686
256,QUEZADA,700,614
257,CORONADO,697,668
258,MAY,689,688
259,CANTU,685,671
260,ARREDONDO,682,639
261,VARELA,682,662
262,AGUILERA,677,649
263,SORIANO,673,716
264,SANTIZ,672,684
265,GALVEZ,671,644
266,ZEPEDA,667,695
267,SOTELO,665,652
268,ARCE,656,662
269,ROMO,656,589
270,CHI,655,599
271,CARRANZA,652,578
272,HIDALGO,648,701
273,GAYTAN,642,601
274,COVARRUBIAS,639,553
275,MORAN,639,629
276,ALCANTARA,637,632
277,MEDRANO,628,715
278,RICO,628,665
279,UC,627,566
280,COTA,626,658
281,GAMEZ,624,636
282,ROBLEDO,620,511
283,ANAYA,616,634
284,ARREOLA,614,584
285,BARRIENTOS,610,526
286,CARRERA,609,587
287,CEBALLOS,609,579
288,GAMBOA,609,593
289,DE JESUS,608,572
290,JARAMILLO,604,618
291,PORTILLO,603,568
292,GUADARRAMA,598,506
293,ARANDA,596,590
294,APARICIO,593,585
295,DE,585,644
296,OLGUIN,585,630
297,CERON,581,546
298,MARTIN,580,612
299,RENTERIA,580,592
300,ROQUE,580,543
301,ARAGON,579,602
302,MONDRAGON,579,703
303,SAAVEDRA,574,485
304,VELEZ,574,554
305,BAHENA,573,608
306,CASTANEDA,573,574
307,ALEMAN,572,557
308,DE LA,572,465
309,HURTADO,572,530
310,PENA,572,477
311,CORDERO,571,572
312,VERGARA,570,560
313,FONSECA,568,568
314,BECERRIL,567,527
315,NUNEZ,565,532
316,LIRA,560,538
317,BUSTOS,557,606
318,MENA,555,544
319,ZAMUDIO,555,582
320,ARCOS,554,469
321,CANUL,554,611
322,SERNA,547,535
323,OSUNA,546,586
324,CORREA,543,572
325,VALADEZ,540,537
326,BALTAZAR,538,513
327,QUINTANA,538,536
328,SANTILLAN,535,509
329,RINCON,533,525
330,LUIS,532,555
331,CARREON,528,466
332,BADILLO,525,513
333,CAZARES,523,490
334,ADAME,521,568
335,JASSO,520,447
336,MILLAN,518,541
337,URBINA,517,505
338,DE LOS SANTOS,513,548
339,CHACON,511,509
340,HEREDIA,511,445
341,BUSTAMANTE,508,522
342,COLIN,508,513
343,PAZ,506,545
344,CASILLAS,505,431
345,MADRIGAL,505,441
346,ALCOCER,504,496
347,PEDRAZA,503,478
348,ZARAGOZA,497,491
349,VITE,494,482
350,MERINO,493,516
351,ROSADO,493,461
352,CUELLAR,492,473
353,PIÑA,491,453
354,TERAN,491,472
355,ALCARAZ,489,491
356,SALDAÑA,489,489
357,VENEGAS,487,488
358,ABARCA,486,510
359,SALVADOR,485,481
360,LAZARO,482,443
361,ORDAZ,481,441
362,DELGADILLO,480,508
