_id,nombre,frec,edad_media
1,JOSE LUIS,7028,45.13
2,MIGUEL ANGEL,5137,41.78
3,FRANCISCO,4853,46.73
4,JUAN,4655,47.27
5,JESUS,4198,44.66
6,ALEJANDRO,4042,41.72
7,ANTONIO,3961,46.33
8,JORGE,3847,45.3
9,PEDRO,3830,46.09
10,CARLOS,3765,45.34
11,ROBERTO,3749,45.71
12,JUAN CARLOS,3601,38.18
13,JAVIER,3582,44.06
14,JOSE,3563,47.27
15,FERNANDO,3414,43.82
16,FRANCISCO JAVIER,3223,42.92
17,ARTURO,3130,45.66
18,MANUEL,3126,46.55
19,RAUL,3107,45.42
20,RICARDO,2991,42.81
21,RAFAEL,2982,44.66
22,MARTIN,2920,45.81
23,MARCO ANTONIO,2909,41.07
24,MIGUEL,2758,46.01
25,SERGIO,2704,44.09
26,ARMANDO,2650,45.21
27,EDUARDO,2643,42.77
28,JOSE ANTONIO,2603,43.28
29,GERARDO,2532,43.06
30,ENRIQUE,2528,45.83
31,VICTOR MANUEL,2521,43.79
32,ALFREDO,2500,44.88
33,JUAN MANUEL,2500,43.82
34,MARIO,2497,46.04
35,ALBERTO,2401,44.12
36,DANIEL,2319,41.04
37,OSCAR,2307,40.8
38,JAIME,2306,45.17
39,DAVID,2276,42.07
40,RUBEN,2253,45.24
41,SALVADOR,2224,45.83
42,JULIO CESAR,2204,38.31
43,HECTOR,2200,44.23
44,JOSE MANUEL,2005,42.45
45,GUILLERMO,1968,45.27
46,LUIS,1954,46.93
47,GABRIEL,1658,43
48,ANGEL,1643,45.68
49,GUSTAVO,1614,42.83
50,FELIPE,1580,46.37
51,RAMON,1577,47.28
52,CESAR,1559,39.91
53,GILBERTO,1534,44.4
54,VICTOR,1527,44.94
55,JUAN JOSE,1496,42.98
56,ALFONSO,1495,46.2
57,ERNESTO,1470,44.39
58,ANDRES,1464,44.95
59,ROGELIO,1457,44.71
60,RODOLFO,1442,45.15
61,PABLO,1434,46.17
62,EDGAR,1426,35.48
63,IGNACIO,1408,47.02
64,HUMBERTO,1359,45.3
65,AGUSTIN,1299,46.35
66,JOSE DE JESUS,1294,43.5
67,OMAR,1275,35
68,JUAN ANTONIO,1260,42.56
69,JOSE ALFREDO,1251,42.44
70,JORGE LUIS,1237,40.09
71,JOEL,1222,44
72,VICENTE,1215,45.92
73,LUIS ALBERTO,1206,35.26
74,CARLOS ALBERTO,1189,35.92
75,ISRAEL,1187,37.34
76,VICTOR HUGO,1179,37.8
